,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Let It Snow! Let It Snow! Let It Snow!___Dean Martin,0.451,0.24,1,-14.014,1,0.0351,0.912,2.45E-06,0.175,0.701,134.009,audio_features,2uFaJJtFpPDc5Pa95XzTvg,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,https://api.spotify.com/v1/tracks/2uFaJJtFpPDc5Pa95XzTvg,https://api.spotify.com/v1/audio-analysis/2uFaJJtFpPDc5Pa95XzTvg,117147,4,A Winter Romance,5I48ENiZiaZZSOpec6PdS5
Butter___BTS,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,audio_features,1mWdTewIgB3gtBM3TOSFhB,spotify:track:1mWdTewIgB3gtBM3TOSFhB,https://api.spotify.com/v1/tracks/1mWdTewIgB3gtBM3TOSFhB,https://api.spotify.com/v1/audio-analysis/1mWdTewIgB3gtBM3TOSFhB,164442,4,"Butter (Hotter, Sweeter, Cooler)",0PBQ3Cp6NG8WX0G9KQVNMP
Cold___Chris Stapleton,0.555,0.505,1,-7.334,0,0.0333,0.0519,0.00361,0.148,0.293,117.481,audio_features,24nhOvYX2gk3txBbMzXeUB,spotify:track:24nhOvYX2gk3txBbMzXeUB,https://api.spotify.com/v1/tracks/24nhOvYX2gk3txBbMzXeUB,https://api.spotify.com/v1/audio-analysis/24nhOvYX2gk3txBbMzXeUB,309853,4,Starting Over,0sOeI7pbAmIc8aDFyvkBUW
Late Night Talking___Harry Styles,0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,audio_features,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955,4,Harry's House,5r36AJ6VOJtp00oxSkBZ5h
"Baby, I'm Jealous (feat. Doja Cat) - Natti Natasha Remix___Bebe Rexha",0.756,0.872,11,-2.299,0,0.0689,0.0774,0,0.26,0.623,97.983,audio_features,1ukcBrTJUEGmSmANE4Pf4A,spotify:track:1ukcBrTJUEGmSmANE4Pf4A,https://api.spotify.com/v1/tracks/1ukcBrTJUEGmSmANE4Pf4A,https://api.spotify.com/v1/audio-analysis/1ukcBrTJUEGmSmANE4Pf4A,153554,4,"Baby, I'm Jealous (feat. Doja Cat) [Natti Natasha Remix]",7sOD9D9S485QMfKVOc3DBc
Back to the Old House - 2011 Remaster___The Smiths,0.626,0.488,2,-7.805,1,0.0253,0.0102,0.000188,0.141,0.404,104.13,audio_features,6LUGvXEAK8WxIBYK43uoTb,spotify:track:6LUGvXEAK8WxIBYK43uoTb,https://api.spotify.com/v1/tracks/6LUGvXEAK8WxIBYK43uoTb,https://api.spotify.com/v1/audio-analysis/6LUGvXEAK8WxIBYK43uoTb,186627,3,Louder Than Bombs,45StnugV9WQMQwk4rRoTy8
Heart Of Glass - Special Mix___Blondie,0.694,0.577,4,-14.63,1,0.0308,0.015,0.00836,0.0853,0.845,114.478,audio_features,0a4agFmqHXxcZl1nho1BxM,spotify:track:0a4agFmqHXxcZl1nho1BxM,https://api.spotify.com/v1/tracks/0a4agFmqHXxcZl1nho1BxM,https://api.spotify.com/v1/audio-analysis/0a4agFmqHXxcZl1nho1BxM,275733,4,Best Of Blondie,7mEjsBlRmfP63cH1gdPT6A
life is funny___ROLE MODEL,0.769,0.543,8,-7.928,1,0.074,0.0114,0.0149,0.118,0.591,109.039,audio_features,1gvnmAf6mXyT8dsZmv5y70,spotify:track:1gvnmAf6mXyT8dsZmv5y70,https://api.spotify.com/v1/tracks/1gvnmAf6mXyT8dsZmv5y70,https://api.spotify.com/v1/audio-analysis/1gvnmAf6mXyT8dsZmv5y70,206120,4,Rx,1PhcZ4Ov6ZxuaUZF8r9rbk
Charmander___Aminé,0.708,0.552,10,-7.101,1,0.0714,0.542,0.00377,0.175,0.596,87.195,audio_features,4Aocy7YAyOYf5YHj18Vfj3,spotify:track:4Aocy7YAyOYf5YHj18Vfj3,https://api.spotify.com/v1/tracks/4Aocy7YAyOYf5YHj18Vfj3,https://api.spotify.com/v1/audio-analysis/4Aocy7YAyOYf5YHj18Vfj3,131884,4,TWOPOINTFIVE,0KkHzH0uia9zwPbrCbS6NY
On Melancholy Hill___Gorillaz,0.689,0.739,2,-5.81,1,0.026,1.51E-05,0.509,0.064,0.578,120.423,audio_features,0q6LuUqGLUiCPP1cbdwFs3,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/tracks/0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/audio-analysis/0q6LuUqGLUiCPP1cbdwFs3,233867,4,Plastic Beach,2dIGnmEIy1WZIcZCFSj6i8
